epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,44.7935,1.12689,1.62287,1.05236,0.7466,0.38889,0.78125,0.54157,1.03828,2.43302,1.08243,0.000348104,0.000348104,0.000348104
62,45.5867,1.15989,1.7464,1.2332,0.7466,0.38889,0.78125,0.54157,1.03828,2.43302,1.08243,0.000345276,0.000345276,0.000345276
63,46.4035,0.90376,1.5381,1.01567,0.84128,0.38601,0.74973,0.5418,1.04236,2.48834,1.10962,0.000342165,0.000342165,0.000342165
64,47.1724,1.22033,1.67046,1.22123,0.84128,0.38601,0.74973,0.5418,1.04236,2.48834,1.10962,0.000338772,0.000338772,0.000338772
65,47.8829,1.14655,1.82658,1.36849,0.84128,0.38601,0.74973,0.5418,1.04236,2.48834,1.10962,0.000335095,0.000335095,0.000335095
66,48.6747,1.10072,1.78975,1.12263,0.79219,0.35185,0.74046,0.53633,1.03556,2.50949,1.14621,0.000331135,0.000331135,0.000331135
67,49.3991,1.49004,1.70212,1.334,0.79219,0.35185,0.74046,0.53633,1.03556,2.50949,1.14621,0.000326892,0.000326892,0.000326892
68,50.4041,1.1175,1.76802,1.11938,0.79219,0.35185,0.74046,0.53633,1.03556,2.50949,1.14621,0.000322367,0.000322367,0.000322367
69,51.4866,1.3884,2.29124,1.48299,0.79318,0.36448,0.73683,0.56205,1.06417,2.4773,1.18166,0.000317558,0.000317558,0.000317558
70,52.4522,1.01389,1.45455,1.1056,0.79318,0.36448,0.73683,0.56205,1.06417,2.4773,1.18166,0.000312467,0.000312467,0.000312467
71,53.4746,1.38391,1.61712,1.18236,0.79318,0.36448,0.73683,0.56205,1.06417,2.4773,1.18166,0.000307092,0.000307092,0.000307092
72,54.5072,1.12999,1.27394,1.11567,0.76657,0.35185,0.73234,0.60859,1.037,2.41831,1.18234,0.000301435,0.000301435,0.000301435
73,55.496,1.05172,1.35654,1.1425,0.76657,0.35185,0.73234,0.60859,1.037,2.41831,1.18234,0.000295494,0.000295494,0.000295494
74,56.5003,0.87402,1.61742,1.03962,0.76657,0.35185,0.73234,0.60859,1.037,2.41831,1.18234,0.000289271,0.000289271,0.000289271
75,57.5188,1.17447,1.5306,1.09287,0.73029,0.35185,0.72949,0.62209,1.07127,2.36884,1.16301,0.000282765,0.000282765,0.000282765
76,58.4928,1.04282,1.37766,1.14082,0.73029,0.35185,0.72949,0.62209,1.07127,2.36884,1.16301,0.000275976,0.000275976,0.000275976
77,59.4745,0.88834,1.45497,0.99769,0.73029,0.35185,0.72949,0.62209,1.07127,2.36884,1.16301,0.000268904,0.000268904,0.000268904
78,60.4225,1.14725,2.54881,1.34522,0.72793,0.35185,0.73088,0.57894,1.11221,2.26314,1.16267,0.000261548,0.000261548,0.000261548
79,61.3877,0.97552,1.27696,1.1942,0.72793,0.35185,0.73088,0.57894,1.11221,2.26314,1.16267,0.00025391,0.00025391,0.00025391
80,62.3832,1.07866,1.52182,1.18039,0.72793,0.35185,0.73088,0.57894,1.11221,2.26314,1.16267,0.000245989,0.000245989,0.000245989
81,63.4681,1.08965,1.23819,1.10552,0.66687,0.68519,0.73631,0.5987,1.11374,2.21147,1.16943,0.000237786,0.000237786,0.000237786
82,64.4334,0.98272,1.25301,1.06294,0.66687,0.68519,0.73631,0.5987,1.11374,2.21147,1.16943,0.000229299,0.000229299,0.000229299
83,65.3608,1.04812,1.9773,1.32697,0.66687,0.68519,0.73631,0.5987,1.11374,2.21147,1.16943,0.000220529,0.000220529,0.000220529
84,66.337,0.89648,1.32146,1.0407,0.63529,0.68519,0.75002,0.6099,1.07959,2.08993,1.13185,0.000211476,0.000211476,0.000211476
85,67.2764,1.02508,1.33107,1.11804,0.63529,0.68519,0.75002,0.6099,1.07959,2.08993,1.13185,0.000202141,0.000202141,0.000202141
86,68.1617,0.91299,1.40219,1.08815,0.63529,0.68519,0.75002,0.6099,1.07959,2.08993,1.13185,0.000192522,0.000192522,0.000192522
87,68.8395,1.00961,1.27093,1.01874,0.63529,0.68519,0.75002,0.6099,1.07959,2.08993,1.13185,0.00018262,0.00018262,0.00018262
88,69.5597,0.93707,1.4117,1.05161,0.58954,0.68519,0.78096,0.63012,1.01027,1.97116,1.07208,0.000172436,0.000172436,0.000172436
89,70.2448,1.13378,1.2957,1.04916,0.58954,0.68519,0.78096,0.63012,1.01027,1.97116,1.07208,0.000161969,0.000161969,0.000161969
90,70.92,1.05408,1.53473,1.12474,0.58954,0.68519,0.78096,0.63012,1.01027,1.97116,1.07208,0.000151218,0.000151218,0.000151218
91,71.5962,0.97166,1.25015,1.03621,0.58954,0.68519,0.78096,0.63012,1.01027,1.97116,1.07208,0.000140185,0.000140185,0.000140185
92,72.3157,0.96503,1.33574,1.0004,0.70122,0.70775,0.78204,0.64455,0.94209,1.83501,1.0305,0.000128869,0.000128869,0.000128869
93,73.0032,0.9604,1.26806,1.13537,0.70122,0.70775,0.78204,0.64455,0.94209,1.83501,1.0305,0.000117269,0.000117269,0.000117269
94,73.6997,0.81021,1.21948,1.02822,0.70122,0.70775,0.78204,0.64455,0.94209,1.83501,1.0305,0.000105387,0.000105387,0.000105387
95,74.375,0.89633,1.32103,1.0926,0.70122,0.70775,0.78204,0.64455,0.94209,1.83501,1.0305,9.32222e-05,9.32222e-05,9.32222e-05
96,75.0717,0.82253,1.08876,1.05147,0.70914,0.71015,0.79943,0.66744,0.91701,1.75534,1.0137,8.07742e-05,8.07742e-05,8.07742e-05
97,75.7431,0.80224,1.08984,0.93254,0.70914,0.71015,0.79943,0.66744,0.91701,1.75534,1.0137,6.80433e-05,6.80433e-05,6.80433e-05
98,76.4142,0.76005,1.0239,1.00473,0.70914,0.71015,0.79943,0.66744,0.91701,1.75534,1.0137,5.50294e-05,5.50294e-05,5.50294e-05
99,77.1147,0.80528,1.29543,0.90821,0.70914,0.71015,0.79943,0.66744,0.91701,1.75534,1.0137,4.17325e-05,4.17325e-05,4.17325e-05
100,77.8239,0.85399,1.25674,1.09537,0.72985,0.71666,0.88475,0.6898,0.90625,1.67321,1.01316,2.81527e-05,2.81527e-05,2.81527e-05
